file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,96,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,97,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,6
style.css,98,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,9
style.css,99,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,11
style.css,100,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,24
style.css,101,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,35
style.css,102,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,15
style.css,103,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,104,css,1b0e51d9,AdaMo22805,2025-01-15,23:31:35,-08:00,2025-01-15T23:31:35-08:00,0,0
style.css,105,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,106,css,7189f169,AdaMo22805,2025-01-16,17:33:51,-08:00,2025-01-16T17:33:51-08:00,0,0
style.css,107,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,7
style.css,108,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,12
style.css,109,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,2
style.css,110,css,fcad2be3,AdaMo22805,2025-02-06,21:18:11,-08:00,2025-02-06T21:18:11-08:00,0,15
style.css,111,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,24
style.css,112,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,40
style.css,113,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,26
style.css,114,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,115,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,7
style.css,116,css,7189f169,AdaMo22805,2025-01-16,17:33:51,-08:00,2025-01-16T17:33:51-08:00,0,13
style.css,117,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,33
style.css,118,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,8
style.css,119,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,16
style.css,120,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,3
style.css,121,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,12
style.css,122,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,123,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,3
style.css,124,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,7
style.css,125,css,e65358c1,AdaMo22805,2025-02-05,22:03:56,-08:00,2025-02-05T22:03:56-08:00,0,9
style.css,126,css,e65358c1,AdaMo22805,2025-02-05,22:03:56,-08:00,2025-02-05T22:03:56-08:00,0,0
style.css,127,css,7189f169,AdaMo22805,2025-01-16,17:33:51,-08:00,2025-01-16T17:33:51-08:00,0,0
style.css,128,css,7189f169,AdaMo22805,2025-01-16,17:33:51,-08:00,2025-01-16T17:33:51-08:00,0,0
style.css,129,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,130,css,7189f169,AdaMo22805,2025-01-16,17:33:51,-08:00,2025-01-16T17:33:51-08:00,0,0
style.css,131,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,7
style.css,132,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,7
style.css,133,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,14
style.css,134,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,12
style.css,135,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,21
style.css,136,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,1
style.css,137,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,11
style.css,138,css,e66ee1ee,AdaMo22805,2025-01-17,19:42:29,-08:00,2025-01-17T19:42:29-08:00,0,0
style.css,139,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,2
style.css,140,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,11
style.css,141,css,e66ee1ee,AdaMo22805,2025-01-17,19:42:29,-08:00,2025-01-17T19:42:29-08:00,0,0
style.css,142,css,e66ee1ee,AdaMo22805,2025-01-17,19:42:29,-08:00,2025-01-17T19:42:29-08:00,0,0
style.css,143,css,669e6037,AdaMo22805,2025-02-05,23:21:25,-08:00,2025-02-05T23:21:25-08:00,0,0
style.css,144,css,fcad2be3,AdaMo22805,2025-02-06,21:18:11,-08:00,2025-02-06T21:18:11-08:00,0,7
style.css,145,css,fcad2be3,AdaMo22805,2025-02-06,21:18:11,-08:00,2025-02-06T21:18:11-08:00,0,18
style.css,146,css,fcad2be3,AdaMo22805,2025-02-06,21:18:11,-08:00,2025-02-06T21:18:11-08:00,0,19
style.css,147,css,fcad2be3,AdaMo22805,2025-02-06,21:18:11,-08:00,2025-02-06T21:18:11-08:00,0,17
style.css,148,css,fcad2be3,AdaMo22805,2025-02-06,21:18:11,-08:00,2025-02-06T21:18:11-08:00,0,20
style.css,149,css,fcad2be3,AdaMo22805,2025-02-06,21:18:11,-08:00,2025-02-06T21:18:11-08:00,0,17
style.css,150,css,fcad2be3,AdaMo22805,2025-02-06,21:18:11,-08:00,2025-02-06T21:18:11-08:00,0,19
style.css,151,css,fcad2be3,AdaMo22805,2025-02-06,21:18:11,-08:00,2025-02-06T21:18:11-08:00,0,19
style.css,152,css,fcad2be3,AdaMo22805,2025-02-06,21:18:11,-08:00,2025-02-06T21:18:11-08:00,0,32
style.css,153,css,fcad2be3,AdaMo22805,2025-02-06,21:18:11,-08:00,2025-02-06T21:18:11-08:00,0,48
style.css,154,css,fcad2be3,AdaMo22805,2025-02-06,21:18:11,-08:00,2025-02-06T21:18:11-08:00,0,10
